"Year","Phrase","Frequency","Corpus"
1882,"(human rights + human right)",4.13668852823028e-07,"eng_2019"
1883,"(human rights + human right)",4.28261436472407e-07,"eng_2019"
1884,"(human rights + human right)",4.3043190903599e-07,"eng_2019"
1885,"(human rights + human right)",4.20906545680769e-07,"eng_2019"
1886,"(human rights + human right)",4.18065754713228e-07,"eng_2019"
1887,"(human rights + human right)",4.41778776608511e-07,"eng_2019"
1888,"(human rights + human right)",4.28198623479505e-07,"eng_2019"
1889,"(human rights + human right)",4.35387687299941e-07,"eng_2019"
1890,"(human rights + human right)",4.25050630375219e-07,"eng_2019"
1891,"(human rights + human right)",4.32752960323666e-07,"eng_2019"
1892,"(human rights + human right)",4.18485716429424e-07,"eng_2019"
1893,"(human rights + human right)",4.09524524006396e-07,"eng_2019"
1894,"(human rights + human right)",3.72168286791715e-07,"eng_2019"
1895,"(human rights + human right)",3.77043957452575e-07,"eng_2019"
1896,"(human rights + human right)",3.76783918097447e-07,"eng_2019"
1897,"(human rights + human right)",4.09626767045828e-07,"eng_2019"
1898,"(human rights + human right)",4.04477079131636e-07,"eng_2019"
1899,"(human rights + human right)",4.12320867988163e-07,"eng_2019"
1900,"(human rights + human right)",4.16374444256462e-07,"eng_2019"
1901,"(human rights + human right)",4.25016255332723e-07,"eng_2019"
1902,"(human rights + human right)",4.15656939724483e-07,"eng_2019"
1903,"(human rights + human right)",4.09629449852186e-07,"eng_2019"
1904,"(human rights + human right)",3.59622615876885e-07,"eng_2019"
1905,"(human rights + human right)",3.45656612665834e-07,"eng_2019"
1906,"(human rights + human right)",3.38512289183817e-07,"eng_2019"
1907,"(human rights + human right)",3.42272896501429e-07,"eng_2019"
1908,"(human rights + human right)",3.44537318040596e-07,"eng_2019"
1909,"(human rights + human right)",3.63388271600635e-07,"eng_2019"
1910,"(human rights + human right)",3.8039895246454e-07,"eng_2019"
1911,"(human rights + human right)",4.09441835103053e-07,"eng_2019"
1912,"(human rights + human right)",4.35578204108619e-07,"eng_2019"
1913,"(human rights + human right)",4.86887019336889e-07,"eng_2019"
1914,"(human rights + human right)",5.37970894498585e-07,"eng_2019"
1915,"(human rights + human right)",5.81494018904648e-07,"eng_2019"
1916,"(human rights + human right)",6.2263572025196e-07,"eng_2019"
1917,"(human rights + human right)",6.31314765797697e-07,"eng_2019"
1918,"(human rights + human right)",6.24496514944894e-07,"eng_2019"
1919,"(human rights + human right)",6.08495417355113e-07,"eng_2019"
1920,"(human rights + human right)",5.64646922234553e-07,"eng_2019"
1921,"(human rights + human right)",5.22070377278234e-07,"eng_2019"
1922,"(human rights + human right)",4.75970138731035e-07,"eng_2019"
1923,"(human rights + human right)",4.2637434307023e-07,"eng_2019"
1924,"(human rights + human right)",4.13740414119599e-07,"eng_2019"
1925,"(human rights + human right)",4.11088886867869e-07,"eng_2019"
1926,"(human rights + human right)",4.50020510507037e-07,"eng_2019"
1927,"(human rights + human right)",4.61971070413776e-07,"eng_2019"
1928,"(human rights + human right)",4.78356168136835e-07,"eng_2019"
1929,"(human rights + human right)",4.83934761977675e-07,"eng_2019"
1930,"(human rights + human right)",4.88727688414363e-07,"eng_2019"
1931,"(human rights + human right)",5.18500590272554e-07,"eng_2019"
1932,"(human rights + human right)",5.6864017748483e-07,"eng_2019"
1933,"(human rights + human right)",6.07890566836236e-07,"eng_2019"
1934,"(human rights + human right)",6.48219811288137e-07,"eng_2019"
1935,"(human rights + human right)",6.6625109797412e-07,"eng_2019"
1936,"(human rights + human right)",7.11516186921049e-07,"eng_2019"
1937,"(human rights + human right)",7.54481674850435e-07,"eng_2019"
1938,"(human rights + human right)",8.00264245473922e-07,"eng_2019"
1939,"(human rights + human right)",8.11701680346135e-07,"eng_2019"
1940,"(human rights + human right)",8.60641840968615e-07,"eng_2019"
1941,"(human rights + human right)",9.45820710386767e-07,"eng_2019"
1942,"(human rights + human right)",1.21085227432007e-06,"eng_2019"
1943,"(human rights + human right)",1.48627664385361e-06,"eng_2019"
1944,"(human rights + human right)",2.53231463277968e-06,"eng_2019"
1945,"(human rights + human right)",2.89428655975144e-06,"eng_2019"
1946,"(human rights + human right)",3.34669557032287e-06,"eng_2019"
1947,"(human rights + human right)",3.71996560488697e-06,"eng_2019"
1948,"(human rights + human right)",3.99366499185102e-06,"eng_2019"
1949,"(human rights + human right)",4.0134408172727e-06,"eng_2019"
1950,"(human rights + human right)",4.06335495536528e-06,"eng_2019"
1951,"(human rights + human right)",3.25608737179144e-06,"eng_2019"
1952,"(human rights + human right)",3.17953621374402e-06,"eng_2019"
1953,"(human rights + human right)",2.9823967255181e-06,"eng_2019"
1954,"(human rights + human right)",2.74308170946012e-06,"eng_2019"
1955,"(human rights + human right)",2.6553125057457e-06,"eng_2019"
1956,"(human rights + human right)",2.64499334231719e-06,"eng_2019"
1957,"(human rights + human right)",2.64362230138561e-06,"eng_2019"
1958,"(human rights + human right)",2.64344830063529e-06,"eng_2019"
1959,"(human rights + human right)",2.53834630013573e-06,"eng_2019"
1960,"(human rights + human right)",2.54883459303658e-06,"eng_2019"
1961,"(human rights + human right)",2.63343370221492e-06,"eng_2019"
1962,"(human rights + human right)",2.66136064145225e-06,"eng_2019"
1963,"(human rights + human right)",2.73460404847421e-06,"eng_2019"
1964,"(human rights + human right)",2.84159487965293e-06,"eng_2019"
1965,"(human rights + human right)",3.16445563441903e-06,"eng_2019"
1966,"(human rights + human right)",3.37237855165183e-06,"eng_2019"
1967,"(human rights + human right)",3.52697075608635e-06,"eng_2019"
1968,"(human rights + human right)",3.61533445974211e-06,"eng_2019"
1969,"(human rights + human right)",3.72494873650859e-06,"eng_2019"
1970,"(human rights + human right)",3.90046439641927e-06,"eng_2019"
1971,"(human rights + human right)",4.1481262757413e-06,"eng_2019"
1972,"(human rights + human right)",4.21654489863548e-06,"eng_2019"
1973,"(human rights + human right)",4.72020975093658e-06,"eng_2019"
1974,"(human rights + human right)",6.3181680311735e-06,"eng_2019"
1975,"(human rights + human right)",7.95684190433933e-06,"eng_2019"
1976,"(human rights + human right)",9.50242856845307e-06,"eng_2019"
1977,"(human rights + human right)",1.07867112169353e-05,"eng_2019"
1978,"(human rights + human right)",1.17838507480071e-05,"eng_2019"
1979,"(human rights + human right)",1.30361590119524e-05,"eng_2019"
1980,"(human rights + human right)",1.3988338419527e-05,"eng_2019"
1981,"(human rights + human right)",1.37072938782369e-05,"eng_2019"
1982,"(human rights + human right)",1.36019444393501e-05,"eng_2019"
1983,"(human rights + human right)",1.35898394871349e-05,"eng_2019"
1984,"(human rights + human right)",1.38859029204598e-05,"eng_2019"
1985,"(human rights + human right)",1.45193175983747e-05,"eng_2019"
1986,"(human rights + human right)",1.49176185410787e-05,"eng_2019"
1987,"(human rights + human right)",1.53319607899708e-05,"eng_2019"
1988,"(human rights + human right)",1.62060118538778e-05,"eng_2019"
1989,"(human rights + human right)",1.69020363541352e-05,"eng_2019"
1990,"(human rights + human right)",1.8022925753972e-05,"eng_2019"
1991,"(human rights + human right)",1.90714592999289e-05,"eng_2019"
1992,"(human rights + human right)",2.00099102585227e-05,"eng_2019"
1993,"(human rights + human right)",2.09572501514036e-05,"eng_2019"
1994,"(human rights + human right)",2.16961591783209e-05,"eng_2019"
1995,"(human rights + human right)",2.2364022506898e-05,"eng_2019"
1996,"(human rights + human right)",2.31807615226184e-05,"eng_2019"
1997,"(human rights + human right)",2.34938678837742e-05,"eng_2019"
1998,"(human rights + human right)",2.3728222487307e-05,"eng_2019"
1999,"(human rights + human right)",2.36938128149892e-05,"eng_2019"
2000,"(human rights + human right)",2.38253214247054e-05,"eng_2019"
2001,"(human rights + human right)",2.41345252009393e-05,"eng_2019"
2002,"(human rights + human right)",2.43702454067066e-05,"eng_2019"
2003,"(human rights + human right)",2.43546714102649e-05,"eng_2019"
2004,"(human rights + human right)",2.44655307954287e-05,"eng_2019"
2005,"(human rights + human right)",2.43822368588553e-05,"eng_2019"
2006,"(human rights + human right)",2.44665834299797e-05,"eng_2019"
2007,"(human rights + human right)",2.41396936075944e-05,"eng_2019"
2008,"(human rights + human right)",2.35491817111974e-05,"eng_2019"
2009,"(human rights + human right)",2.25440453829963e-05,"eng_2019"
2010,"(human rights + human right)",2.23658905968348e-05,"eng_2019"
2011,"(human rights + human right)",2.17071836670714e-05,"eng_2019"
2012,"(human rights + human right)",2.14931022729356e-05,"eng_2019"
2013,"(human rights + human right)",2.21361726906772e-05,"eng_2019"
2014,"(human rights + human right)",2.22212806063128e-05,"eng_2019"
2015,"(human rights + human right)",2.25327145813026e-05,"eng_2019"
2016,"(human rights + human right)",2.29759247970053e-05,"eng_2019"
2017,"(human rights + human right)",2.29042151621191e-05,"eng_2019"
2018,"(human rights + human right)",2.33779327686534e-05,"eng_2019"
2019,"(human rights + human right)",2.36432942699594e-05,"eng_2019"
1800,"rights",7.43717700970592e-05,"eng_2019"
1801,"rights",7.20016396371648e-05,"eng_2019"
1802,"rights",7.14863357037151e-05,"eng_2019"
1803,"rights",7.04751146258786e-05,"eng_2019"
1804,"rights",7.1981804337286e-05,"eng_2019"
1805,"rights",7.16716177911232e-05,"eng_2019"
1806,"rights",6.61564663460013e-05,"eng_2019"
1807,"rights",6.5877575772382e-05,"eng_2019"
1808,"rights",6.849337712213e-05,"eng_2019"
1809,"rights",7.23098455637228e-05,"eng_2019"
1810,"rights",7.60043221816886e-05,"eng_2019"
1811,"rights",7.8514183509729e-05,"eng_2019"
1812,"rights",8.00378438725602e-05,"eng_2019"
1813,"rights",8.34621615857551e-05,"eng_2019"
1814,"rights",8.77155221782492e-05,"eng_2019"
1815,"rights",8.76115269160696e-05,"eng_2019"
1816,"rights",8.478246724865e-05,"eng_2019"
1817,"rights",8.25309876485595e-05,"eng_2019"
1818,"rights",7.9116939949537e-05,"eng_2019"
1819,"rights",7.77116594170885e-05,"eng_2019"
1820,"rights",7.54922969333295e-05,"eng_2019"
1821,"rights",7.13704440775993e-05,"eng_2019"
1822,"rights",7.07092040101998e-05,"eng_2019"
1823,"rights",7.13586819724047e-05,"eng_2019"
1824,"rights",7.18360721033865e-05,"eng_2019"
1825,"rights",7.38318194635212e-05,"eng_2019"
1826,"rights",7.63600037316792e-05,"eng_2019"
1827,"rights",7.89634130861876e-05,"eng_2019"
1828,"rights",8.18337191178996e-05,"eng_2019"
1829,"rights",9.78295086367455e-05,"eng_2019"
1830,"rights",9.99645219833058e-05,"eng_2019"
1831,"rights",0.000101384358588673,"eng_2019"
1832,"rights",0.000102122352732944,"eng_2019"
1833,"rights",0.000103818330639375,"eng_2019"
1834,"rights",0.000104146451381634,"eng_2019"
1835,"rights",0.000104225038999825,"eng_2019"
1836,"rights",8.95576907039088e-05,"eng_2019"
1837,"rights",8.77295076082061e-05,"eng_2019"
1838,"rights",8.72309995299604e-05,"eng_2019"
1839,"rights",8.49961610843561e-05,"eng_2019"
1840,"rights",8.24137262368043e-05,"eng_2019"
1841,"rights",8.08640948629805e-05,"eng_2019"
1842,"rights",8.08420850911976e-05,"eng_2019"
1843,"rights",8.21278403496503e-05,"eng_2019"
1844,"rights",8.16272357561892e-05,"eng_2019"
1845,"rights",8.24686597167913e-05,"eng_2019"
1846,"rights",8.49235106475784e-05,"eng_2019"
1847,"rights",8.60757219405579e-05,"eng_2019"
1848,"rights",8.76629232412337e-05,"eng_2019"
1849,"rights",8.85140294225753e-05,"eng_2019"
1850,"rights",8.89065954002685e-05,"eng_2019"
1851,"rights",9.06896623616506e-05,"eng_2019"
1852,"rights",9.03409891179763e-05,"eng_2019"
1853,"rights",9.11370963357123e-05,"eng_2019"
1854,"rights",9.05696173763967e-05,"eng_2019"
1855,"rights",9.10443580193844e-05,"eng_2019"
1856,"rights",8.96328939623865e-05,"eng_2019"
1857,"rights",8.85612794913218e-05,"eng_2019"
1858,"rights",8.86417235181268e-05,"eng_2019"
1859,"rights",8.77501775643655e-05,"eng_2019"
1860,"rights",8.69502587842622e-05,"eng_2019"
1861,"rights",8.80560016542274e-05,"eng_2019"
1862,"rights",8.7395184631792e-05,"eng_2019"
1863,"rights",9.06773077856217e-05,"eng_2019"
1864,"rights",9.06939146391648e-05,"eng_2019"
1865,"rights",9.0665668332284e-05,"eng_2019"
1866,"rights",9.13853707191135e-05,"eng_2019"
1867,"rights",9.21243585513106e-05,"eng_2019"
1868,"rights",9.17415330020179e-05,"eng_2019"
1869,"rights",9.21591449046641e-05,"eng_2019"
1870,"rights",9.08692745724693e-05,"eng_2019"
1871,"rights",9.10141669529756e-05,"eng_2019"
1872,"rights",9.17679364127772e-05,"eng_2019"
1873,"rights",9.23580716646809e-05,"eng_2019"
1874,"rights",9.22744397290184e-05,"eng_2019"
1875,"rights",9.23049519769847e-05,"eng_2019"
1876,"rights",9.21270007633471e-05,"eng_2019"
1877,"rights",9.17863788864841e-05,"eng_2019"
1878,"rights",9.22397614756067e-05,"eng_2019"
1879,"rights",9.21597581639487e-05,"eng_2019"
1880,"rights",9.24885888317866e-05,"eng_2019"
1881,"rights",9.39486136693241e-05,"eng_2019"
1882,"rights",9.49616774700449e-05,"eng_2019"
1883,"rights",9.79976289922238e-05,"eng_2019"
1884,"rights",9.99675311114905e-05,"eng_2019"
1885,"rights",0.000101174643662359,"eng_2019"
1886,"rights",0.000100962461146992,"eng_2019"
1887,"rights",0.00010179087985307,"eng_2019"
1888,"rights",0.000100571018785039,"eng_2019"
1889,"rights",0.00010048763631078,"eng_2019"
1890,"rights",9.79855571391194e-05,"eng_2019"
1891,"rights",9.67880270244288e-05,"eng_2019"
1892,"rights",9.72419272459644e-05,"eng_2019"
1893,"rights",9.74648220497849e-05,"eng_2019"
1894,"rights",9.75108830191727e-05,"eng_2019"
1895,"rights",9.81259987124109e-05,"eng_2019"
1896,"rights",9.76058914342762e-05,"eng_2019"
1897,"rights",9.80263087382939e-05,"eng_2019"
1898,"rights",9.89638668085848e-05,"eng_2019"
1899,"rights",9.76123940615383e-05,"eng_2019"
1900,"rights",9.82990968623199e-05,"eng_2019"
1901,"rights",9.8525063159676e-05,"eng_2019"
1902,"rights",9.91797756536731e-05,"eng_2019"
1903,"rights",0.000101744003976429,"eng_2019"
1904,"rights",0.00010253482573067,"eng_2019"
1905,"rights",0.000102230634573581,"eng_2019"
1906,"rights",0.000103360821542862,"eng_2019"
1907,"rights",0.000103854439138169,"eng_2019"
1908,"rights",0.000104463681054767,"eng_2019"
1909,"rights",0.000106002850640964,"eng_2019"
1910,"rights",0.000105245071089095,"eng_2019"
1911,"rights",0.000106046926313346,"eng_2019"
1912,"rights",0.000107668830813574,"eng_2019"
1913,"rights",0.000108470613278249,"eng_2019"
1914,"rights",0.000109355238756897,"eng_2019"
1915,"rights",0.000109507568205507,"eng_2019"
1916,"rights",0.000109092589160095,"eng_2019"
1917,"rights",0.000108616473361118,"eng_2019"
1918,"rights",0.000107624259336652,"eng_2019"
1919,"rights",0.000106534220062063,"eng_2019"
1920,"rights",0.000105445551785773,"eng_2019"
1921,"rights",0.000103810193000494,"eng_2019"
1922,"rights",0.000102552179929002,"eng_2019"
1923,"rights",0.00010165292146017,"eng_2019"
1924,"rights",0.000101362452759141,"eng_2019"
1925,"rights",0.000101602780757405,"eng_2019"
1926,"rights",0.000100582538704787,"eng_2019"
1927,"rights",0.000100145578991422,"eng_2019"
1928,"rights",0.000100430306961893,"eng_2019"
1929,"rights",0.000100987733666053,"eng_2019"
1930,"rights",0.000100223567902244,"eng_2019"
1931,"rights",0.000100394775342595,"eng_2019"
1932,"rights",0.000100011030943798,"eng_2019"
1933,"rights",0.000102190694763392,"eng_2019"
1934,"rights",0.000103245960157697,"eng_2019"
1935,"rights",0.000104632053989917,"eng_2019"
1936,"rights",0.000107067909474219,"eng_2019"
1937,"rights",0.00010961128802072,"eng_2019"
1938,"rights",0.000112061715169278,"eng_2019"
1939,"rights",0.00011466315585754,"eng_2019"
1940,"rights",0.000115226022899151,"eng_2019"
1941,"rights",0.000115890518437871,"eng_2019"
1942,"rights",0.000116526570179433,"eng_2019"
1943,"rights",0.000115525305903118,"eng_2019"
1944,"rights",0.000117044961370993,"eng_2019"
1945,"rights",0.000117726694692725,"eng_2019"
1946,"rights",0.000118676139598912,"eng_2019"
1947,"rights",0.000117650983156636,"eng_2019"
1948,"rights",0.000117634154906097,"eng_2019"
1949,"rights",0.000116700809615265,"eng_2019"
1950,"rights",0.000116758687779241,"eng_2019"
1951,"rights",0.000115427188575268,"eng_2019"
1952,"rights",0.000113987878389058,"eng_2019"
1953,"rights",0.000111766715625501,"eng_2019"
1954,"rights",0.000112748334816258,"eng_2019"
1955,"rights",0.000111771891949632,"eng_2019"
1956,"rights",0.000112120265839621,"eng_2019"
1957,"rights",0.00011266448564129,"eng_2019"
1958,"rights",0.00011101525160484,"eng_2019"
1959,"rights",0.000109463070527584,"eng_2019"
1960,"rights",0.000109650477367852,"eng_2019"
1961,"rights",0.000108918406892501,"eng_2019"
1962,"rights",0.000110685335779895,"eng_2019"
1963,"rights",0.000110566068282684,"eng_2019"
1964,"rights",0.000110711547936912,"eng_2019"
1965,"rights",0.000111914915448454,"eng_2019"
1966,"rights",0.000113392704016795,"eng_2019"
1967,"rights",0.000114762891566248,"eng_2019"
1968,"rights",0.000115253849279335,"eng_2019"
1969,"rights",0.000115940723584832,"eng_2019"
1970,"rights",0.000116854727301481,"eng_2019"
1971,"rights",0.000117425548004186,"eng_2019"
1972,"rights",0.0001185446204285,"eng_2019"
1973,"rights",0.000120589798565821,"eng_2019"
1974,"rights",0.000123337429873313,"eng_2019"
1975,"rights",0.000127159049692896,"eng_2019"
1976,"rights",0.000129573683287682,"eng_2019"
1977,"rights",0.000131618887410566,"eng_2019"
1978,"rights",0.000133602657505045,"eng_2019"
1979,"rights",0.000135617276620386,"eng_2019"
1980,"rights",0.000136824212469427,"eng_2019"
1981,"rights",0.000135547348431178,"eng_2019"
1982,"rights",0.000134760031609663,"eng_2019"
1983,"rights",0.000134546419888336,"eng_2019"
1984,"rights",0.000136935777845792,"eng_2019"
1985,"rights",0.000138315363853638,"eng_2019"
1986,"rights",0.000139531783393717,"eng_2019"
1987,"rights",0.000141246109186406,"eng_2019"
1988,"rights",0.000144628221668037,"eng_2019"
1989,"rights",0.000147423357702792,"eng_2019"
1990,"rights",0.000150995753106794,"eng_2019"
1991,"rights",0.000152961625384965,"eng_2019"
1992,"rights",0.000156358861464209,"eng_2019"
1993,"rights",0.000160154618372742,"eng_2019"
1994,"rights",0.000163871900960138,"eng_2019"
1995,"rights",0.000167253593515073,"eng_2019"
1996,"rights",0.000170703607312004,"eng_2019"
1997,"rights",0.000172568668079163,"eng_2019"
1998,"rights",0.000174628984366011,"eng_2019"
1999,"rights",0.000176258324894921,"eng_2019"
2000,"rights",0.000176880689520788,"eng_2019"
2001,"rights",0.000176636967808008,"eng_2019"
2002,"rights",0.000175866454290891,"eng_2019"
2003,"rights",0.000173915044537612,"eng_2019"
2004,"rights",0.000172628199964363,"eng_2019"
2005,"rights",0.000170029273639167,"eng_2019"
2006,"rights",0.00016644609526598,"eng_2019"
2007,"rights",0.000163648757734336,"eng_2019"
2008,"rights",0.000163725311202662,"eng_2019"
2009,"rights",0.000165365578141063,"eng_2019"
2010,"rights",0.000165046677076524,"eng_2019"
2011,"rights",0.000163850532512047,"eng_2019"
2012,"rights",0.000164140429530692,"eng_2019"
2013,"rights",0.000167685589985922,"eng_2019"
2014,"rights",0.000164550714544021,"eng_2019"
2015,"rights",0.000158882812164458,"eng_2019"
2016,"rights",0.000150981240689621,"eng_2019"
2017,"rights",0.000148736881480242,"eng_2019"
2018,"rights",0.000147146871313453,"eng_2019"
2019,"rights",0.000143849731102819,"eng_2019"
1800,"(liberty + liberties)",0.000152704025367711,"eng_2019"
1801,"(liberty + liberties)",0.000153608076288947,"eng_2019"
1802,"(liberty + liberties)",0.000155865731358062,"eng_2019"
1803,"(liberty + liberties)",0.000156161124323262,"eng_2019"
1804,"(liberty + liberties)",0.00015823766599559,"eng_2019"
1805,"(liberty + liberties)",0.000157182177125443,"eng_2019"
1806,"(liberty + liberties)",0.000156193588087003,"eng_2019"
1807,"(liberty + liberties)",0.000160059214977082,"eng_2019"
1808,"(liberty + liberties)",0.000162681496086796,"eng_2019"
1809,"(liberty + liberties)",0.000164069226229913,"eng_2019"
1810,"(liberty + liberties)",0.000165664381711395,"eng_2019"
1811,"(liberty + liberties)",0.000166135459169579,"eng_2019"
1812,"(liberty + liberties)",0.000163575160643502,"eng_2019"
1813,"(liberty + liberties)",0.000165985960588192,"eng_2019"
1814,"(liberty + liberties)",0.000167820713613764,"eng_2019"
1815,"(liberty + liberties)",0.000165444215651535,"eng_2019"
1816,"(liberty + liberties)",0.000159924117854514,"eng_2019"
1817,"(liberty + liberties)",0.000157016874904262,"eng_2019"
1818,"(liberty + liberties)",0.000152621784114412,"eng_2019"
1819,"(liberty + liberties)",0.000153848014763623,"eng_2019"
1820,"(liberty + liberties)",0.000150197369034036,"eng_2019"
1821,"(liberty + liberties)",0.000145484084766524,"eng_2019"
1822,"(liberty + liberties)",0.000143595380775098,"eng_2019"
1823,"(liberty + liberties)",0.000144248573633377,"eng_2019"
1824,"(liberty + liberties)",0.00014256778402861,"eng_2019"
1825,"(liberty + liberties)",0.000142821306976007,"eng_2019"
1826,"(liberty + liberties)",0.00014043631277413,"eng_2019"
1827,"(liberty + liberties)",0.000138643961950688,"eng_2019"
1828,"(liberty + liberties)",0.000137293722738312,"eng_2019"
1829,"(liberty + liberties)",0.000131531242524423,"eng_2019"
1830,"(liberty + liberties)",0.00012967229538065,"eng_2019"
1831,"(liberty + liberties)",0.00012793855655348,"eng_2019"
1832,"(liberty + liberties)",0.000126816250485717,"eng_2019"
1833,"(liberty + liberties)",0.000126133788788658,"eng_2019"
1834,"(liberty + liberties)",0.00012452609007596,"eng_2019"
1835,"(liberty + liberties)",0.000121795959135592,"eng_2019"
1836,"(liberty + liberties)",0.00012365916271457,"eng_2019"
1837,"(liberty + liberties)",0.000122801035234131,"eng_2019"
1838,"(liberty + liberties)",0.000121394229868851,"eng_2019"
1839,"(liberty + liberties)",0.000118340967674158,"eng_2019"
1840,"(liberty + liberties)",0.00011532570442796,"eng_2019"
1841,"(liberty + liberties)",0.000114298232282246,"eng_2019"
1842,"(liberty + liberties)",0.000113117214303721,"eng_2019"
1843,"(liberty + liberties)",0.000112107705068151,"eng_2019"
1844,"(liberty + liberties)",0.00010968496085947,"eng_2019"
1845,"(liberty + liberties)",0.000109972114582238,"eng_2019"
1846,"(liberty + liberties)",0.000110901882050842,"eng_2019"
